corruption_type,corruption_rate,auroc_uncertainty_detection,rejection_rate,accepted_accuracy,mean_uncertainty_clean,mean_uncertainty_corrupted
chimeric,0.5,0.893128469024263,0.23620309050772628,0.001445086705202312,0.0008160044310432279,0.005295121263467259
substitution,0.01,0.9222134506771145,0.6688741721854304,0.32666666666666666,0.0008160044310432279,0.018200415004852998
substitution,0.05,0.4712305503169939,0.2958057395143488,0.12225705329153605,0.0008160044310432279,0.007475893183349985
substitution,0.1,0.20982388686656045,0.1490066225165563,0.11154345006485085,0.0008160044310432279,0.0033022546160623788
substitution,0.2,0.040168803512516504,0.02759381898454746,0.10442678774120318,0.0008160044310432279,0.0005539658673807644
truncation,0.1,0.9950696606873967,0.9602649006622517,0.8055555555555556,0.0008160044310432279,0.034052097107062
truncation,0.25,0.9983419343206195,0.9878587196467992,0.2727272727272727,0.0008160044310432279,0.049061437582138843
truncation,0.5,0.9991971599686175,0.9966887417218543,0.0,0.0008160044310432279,0.054156862744344184
