corruption_type,corruption_rate,auroc_uncertainty_detection,rejection_rate,accepted_accuracy,mean_uncertainty_clean,mean_uncertainty_corrupted
chimeric,0.5,0.8295981170416502,0.4194260485651214,0.0019011406844106464,0.0010457417323717318,0.005005646696743044
substitution,0.01,0.9685503559785389,0.9072847682119205,0.8571428571428571,0.0010457417323717318,0.022902102676107178
substitution,0.05,0.9822266567255822,0.9591611479028698,0.40540540540540543,0.0010457417323717318,0.04087332952658956
substitution,0.1,0.993435960411093,0.9867549668874173,0.5,0.0010457417323717318,0.04559656466774558
substitution,0.2,0.9980032552178507,0.9977924944812362,0.5,0.0010457417323717318,0.050682778430506344
truncation,0.1,0.9686015233250003,0.8951434878587197,0.6631578947368421,0.0010457417323717318,0.021756172784541908
truncation,0.25,0.9948783922732434,0.9878587196467992,0.45454545454545453,0.0010457417323717318,0.03998386250433832
truncation,0.5,0.9988341154627721,0.9988962472406181,0.0,0.0010457417323717318,0.04110417463713606
